[681.0716,681.6893]
[682.5019,683.5003]
[684.6730,686.0070]
[687.4870,689.0962]
[690.8165,692.6283]
[694.5111,696.4436]
[698.4039,700.3698]
[702.3190,704.2293]
[706.0793,707.8478]
[709.5150,711.0618]
[712.4707,713.7259]
[714.8130,715.7197]
[716.4359,716.9533]
[717.2661,717.3708]
[610.3587,612.3224]
[614.2640,616.1612]
[617.9928,619.7378]
[621.3766,622.8905]
[624.2624,625.4768]
[626.5199,627.3799]
[628.0470,628.5138]
[628.7748,628.8271]
[628.6702,628.3058]
[627.7381,626.9735]
[626.0206,624.8902]
[623.5952,622.1502]
[620.5716,618.8773]
[617.0865,615.2195]
[613.2974,611.3419]
[609.3754,607.4200]
[605.4978,603.6308]
[601.8400,600.1457]
[598.5671,597.1221]
[595.8271,594.6967]
[593.7438,592.9792]
[592.4115,592.0471]
[591.8902,591.9425]
[592.2035,592.6703]
[593.3374,594.1974]
[595.2405,596.4549]
[597.8268,599.3408]
[600.9795,602.7246]
[604.5561,606.4534]
[608.3949,610.3587]
[1175.6417,621.6917,17.3588]
[1193.0005,1192.9022]
[1192.6082,1192.1221]
[1191.4492,1190.5972]
[1189.5758,1188.3965]
[1187.0727,1185.6193]
[1184.0529,1182.3912]
[1180.6530,1178.8581]
[1177.0267,1175.1796]
[1173.3377,1171.5220]
[1169.7529,1168.0505]
[1166.4342,1164.9222]
[1163.5316,1162.2783]
[1161.1763,1160.2383]
[1159.4748,1158.8944]
[1158.5038,1158.3074]
[1158.3074,1158.5038]
[1158.8944,1159.4748]
[1160.2383,1161.1763]
[1162.2783,1163.5316]
[1164.9222,1166.4342]
[1168.0505,1169.7529]
[1171.5220,1173.3377]
[1175.1796,1177.0267]
[1178.8581,1180.6530]
[1182.3912,1184.0529]
[1185.6193,1187.0727]
[1188.3965,1189.5758]
[1190.5972,1191.4492]
[1192.1221,1192.6082]
[1192.9022,1193.0005]
[621.6917,623.5368]
[625.3611,627.1437]
[628.8646,630.5042]
[632.0440,633.4664]
[634.7555,635.8965]
[636.8766,637.6846]
[638.3114,638.7500]
[638.9952,639.0444]
[638.8970,638.5546]
[638.0212,637.3027]
[636.4074,635.3453]
[634.1286,632.7709]
[631.2877,629.6957]
[628.0131,626.2589]
[624.4529,622.6156]
[620.7678,618.9306]
[617.1246,615.3703]
[613.6877,612.0958]
[610.6125,609.2549]
[608.0381,606.9760]
[606.0807,605.3623]
[604.8288,604.4865]
[604.3390,604.3882]
[604.6335,605.0720]
[605.6988,606.5069]
[607.4869,608.6280]
[609.9170,611.3395]
[612.8792,614.5188]
[616.2397,618.0224]
[619.8466,621.6917]
